Location Name,Location Formal Name,Location Scheduler,Location Scheduler Email,Max Capacity,X25 Assignable Area,Default Layout,Default Layout Capacity,Default Layout Image?,Always Shared?,Building,Partition,Latitude,Longitude,X25 Building,X25 Floor Number,X25 Owner Organization,X25 Room Use Code,Express Scheduling Enabled?,Express Scheduling Event Type,Express Scheduling Max. Duration,Default Instructions,Comments
AFC111,Africana Ctr 111,"O'Keefe, Erin",elo37@cornell.edu,18,372,Instruction,18,No,No,,,42.45721,-76.482316,Africana Ctr,,Arts and Sci-AS,110,No,,,,
AFC120,Africana Ctr 120,"O'Keefe, Erin",elo37@cornell.edu,98,1390,Instruction,98,Yes,No,,,42.45721,-76.482316,Africana Ctr,,,610,No,,,,
AFCB01,Africana Ctr B01,"O'Keefe, Erin",elo37@cornell.edu,49,614,Instruction,32,Yes,No,,,42.45721,-76.482316,Africana Ctr,,Arts and Sci-AS,110,No,,,,
AFCB07,Africana Ctr B07,"O'Keefe, Erin",elo37@cornell.edu,18,392,Instruction,16,Yes,No,,,42.45721,-76.482316,Africana Ctr,,Arts and Sci-AS,110,No,,,,
AGQXQUADE,Ag Quad XQUADE: East Quad,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,90,0,,0,No,No,,,0,0,,,,,No,,,,
AGQXQUADN,Ag Quad XQUADN: North Quad,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,99,0,,0,No,No,,,0,0,,,,,No,,,,
AGQXQUADS,Ag Quad XQUADS: South Quad,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,99,0,,0,No,No,,,0,0,,,,,No,,,,
AGQXQUADW,Ag Quad XQUADW: West Quad,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,99,0,,0,No,No,,,0,0,,,,,No,,,,
AKW101,American Indian Prog 101: Main Lounge,"SCL Res Life Scheduling, North Campus",scl_rl_north@cornell.edu,43,788,As Is,43,Yes,No,,,42.456146,-76.480432,American Indian Prog,,,680,No,,,,
APP10042,Appel Commons 10042: Fireside Lounge,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,18,1414,As Is,18,Yes,No,,,42.453569,-76.476101,Appel Commons,1,Student and Campus Life-SCL,24,No,,,,
APP303A,Appel Commons 303A: Multipurpose Room A,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,132,1078,U-Shape,24,No,No,,,42.453569,-76.476101,Appel Commons,,,680,No,,,,
APP303AB,Appel Commons 303AB: Multipurpose Room AB,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,264,1078,Empty (flow),264,Yes,No,,,42.453569,-76.476101,Appel Commons,,,680,No,,,,"APP303A=APP303, App303B=APP305"
APP303ABC,Appel Commons 303ABC: Multipurpose Room ABC,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,464,1078,Empty (flow),464,Yes,No,,,42.453569,-76.476101,Appel Commons,,,680,No,,,,
APP303B,Appel Commons 303B: Multipurpose Room B,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,132,1078,U-Shape,24,No,No,,,42.453569,-76.476101,Appel Commons,,,680,No,,,,
APP303BC,Appel Commons 303BC: Multipurpose Room BC,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,264,1078,Empty (flow),264,Yes,No,,,42.453569,-76.476101,Appel Commons,,,680,No,,,,
APP303C,Appel Commons 303C: Multipurpose Room C,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,132,1078,U-Shape,24,No,No,,,42.453569,-76.476101,Appel Commons,,,680,No,,,,
APPDONBOX1,Appel Commons: First Floor Donation Box 1,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,0,0,,0,No,No,,,42.453569,-76.476101,Appel Commons,,,,No,,,,
APPDONBOX2,Appel Commons: First Floor Donation Box 2,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,0,0,,0,No,No,,,42.453569,-76.476101,Appel Commons,,,,No,,,,
APPDONBOX3,Appel Commons: Second Floor Donation Box 3,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,0,0,,0,No,No,,,42.453569,-76.476101,Appel Commons,,,,No,,,,
APPTABLEA,Appel Commons: First Floor Table A,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,2,1414,Tabletop Exhibits,2,No,No,,,42.453569,-76.476101,Appel Commons,1,Student and Campus Life-SCL,24,No,,,,
APPTABLEB,Appel Commons: Second Floor Table B,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,2,1414,Tabletop Exhibits,2,No,No,,,42.453569,-76.476101,Appel Commons,1,Student and Campus Life-SCL,24,No,,,,
APPXPAT,Appel Commons XPAT: Patio,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,99,0,,0,No,No,,,42.453569,-76.476101,,,,,No,,,,
ASA109,Academic Surge Facility A 109,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,40,704,Instruction,40,Yes,No,,,42.448307,-76.478316,,1,Agriculture and Life Sci-CALS,110,No,,,,
ASQXQUAD1,Arts Quadrangle XQUAD1: Area1,,,99,0,Outdoor - Diagram,99,No,No,,,42.449419,-76.484419,,,,,No,,,,
ASQXQUAD2,Arts Quadrangle XQUAD2: Area2,,,99,0,Outdoor - Diagram,99,No,No,,,42.449419,-76.484419,,,,,No,,,,
ASQXQUAD3,Arts Quadrangle XQUAD3: Area3,,,213,0,Outdoor - Diagram,99,No,No,,,42.449419,-76.484419,,,,,No,,,,
ASQXQUAD4,Arts Quadrangle XQUAD4: Area4,,,99,0,Outdoor - Diagram,99,No,No,,,42.449419,-76.484419,,,,,No,,,,
ASQXQUAD5,Arts Quadrangle XQUAD5: Area5,,,99,0,Outdoor - Diagram,99,No,No,,,42.449419,-76.484419,,,,,No,,,,
ASQXQUAD6,Arts Quadrangle XQUAD6: Area6,,,99,0,Outdoor - Diagram,99,No,No,,,42.449419,-76.484419,,,,,No,,,,
ATH112,Anabel Taylor Hall 112: Chapel,"Wissman, Saorsa",swissman@cornell.edu,124,1914,Instruction,120,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,1,Student and Campus Life-SCL,610,No,,,,
ATH114,Anabel Taylor Hall 114: Founders Room,"Wissman, Saorsa",swissman@cornell.edu,42,1218,Instruction,42,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,1,Student and Campus Life-SCL,680,No,,,,
ATH130,Anabel Taylor Hall 130: Durland Alternatives Library,"Wissman, Saorsa",swissman@cornell.edu,80,0,As Is,80,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,1,Student and Campus Life-SCL,,No,,,,
ATH230,Anabel Taylor Hall 230: Auditorium,"Wissman, Saorsa",swissman@cornell.edu,205,4021,Instruction,205,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,2,Student and Campus Life-SCL,610,No,,,,
ATH314,Anabel Taylor Hall 314,"Wissman, Saorsa",swissman@cornell.edu,29,442,Instruction,28,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,3,Student and Campus Life-SCL,110,No,,,,
ATHB21,Anabel Taylor Hall B21: One World Room,"Wissman, Saorsa",swissman@cornell.edu,155,3021,Instruction,155,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,,Student and Campus Life-SCL,610,No,,,,
ATHB27,Anabel Taylor Hall B27,"Wissman, Saorsa",swissman@cornell.edu,7,579,As Is,7,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,,Student and Campus Life-SCL,615,No,,,,
ATHG14,Anabel Taylor Hall G14: The Edwards Room,"Wissman, Saorsa",swissman@cornell.edu,50,1214,Instruction,48,No,No,,,42.444933,-76.485615,Anabel Taylor Hall,,Student and Campus Life-SCL,680,No,,,,
ATHXLWN,Anabel Taylor Hall XLWN: Lawn,"Wissman, Saorsa",swissman@cornell.edu,79,0,,0,No,No,,,0,0,,,,,No,,,,
BBEXBCH**,Beebe Lake XBCH: Beach,,,99,0,,0,No,No,,,0,0,,,,,No,,,,
BDF101,Bradfield Hall 101,"Enright, Catalina",cle46@cornell.edu,148,1884,Instruction,148,Yes,No,,Bradfield Hall,42.447931,-76.475775,Bradfield Hall,,Agriculture and Life Sci-CALS,110,No,,,,
BDF102,Bradfield Hall 102,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,28,1167,As Is,28,No,No,,,42.447931,-76.475775,Bradfield Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
BDF105,Bradfield Hall 105,"Enright, Catalina",cle46@cornell.edu,40,945,Instruction,40,Yes,No,,Bradfield Hall,42.447931,-76.475775,Bradfield Hall,,Agriculture and Life Sci-CALS,110,No,,,,
BDF1101**,Bradfield Hall 1101,"Enright, Catalina",cle46@cornell.edu,24,845,As Is,24,No,No,,,42.447931,-76.475775,Bradfield Hall,11,Agriculture and Life Sci-CALS,210,No,,,,
BDF1102,Bradfield Hall 1102,"Enright, Catalina",cle46@cornell.edu,36,1229,Instruction,35,Yes,No,,,42.447931,-76.475775,Bradfield Hall,,,110,No,,,,
BDF1125,Bradfield Hall 1125,"Enright, Catalina",cle46@cornell.edu,26,608,Instruction,26,Yes,No,,,42.447931,-76.475775,Bradfield Hall,,,350,No,,,,
BDF116,Bradfield Hall 116,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,28,0,Instruction,28,No,No,,,42.447931,-76.475775,Bradfield Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
BET240,Hans Bethe House 240: Seminar Room,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,49,611,Instruction,16,Yes,No,,,42.447056,-76.488589,Hans Bethe House,,,110,No,,,,
BGCXARBC,Botanic Gardens XARBC: Arboretum C,,,99,0,As Is,99,No,No,,,42.451505,-76.449645,,,,,No,,,,
BKL101A**,Baker Laboratory 101A,"Austin, Donald",da466@cornell.edu,24,1141,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,1,Arts and Sci-AS,212,No,,,,
BKL101B**,Baker Laboratory 101B,"Austin, Donald",da466@cornell.edu,24,1124,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,1,Arts and Sci-AS,212,No,,,,
BKL101C**,Baker Laboratory 101C,"Austin, Donald",da466@cornell.edu,24,1087,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,1,Arts and Sci-AS,212,No,,,,
BKL101E**,Baker Laboratory 101E,"Austin, Donald",da466@cornell.edu,24,1127,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,1,Arts and Sci-AS,212,No,,,,
BKL119,Baker Laboratory 119,"Austin, Donald",da466@cornell.edu,104,1088,Instruction,104,Yes,No,,Baker Laboratory,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKL135,Baker Laboratory 135,"Austin, Donald",da466@cornell.edu,104,1088,Instruction,104,Yes,No,,Baker Laboratory,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKL157,Baker Laboratory 157,"Austin, Donald",da466@cornell.edu,13,153,Instruction,13,No,No,,,42.450151,-76.481771,Baker Laboratory,,,110,No,,,,
BKL200,Baker Laboratory 200,"Austin, Donald",da466@cornell.edu,496,2906,Instruction,496,Yes,No,,Baker Laboratory,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKL201A**,Baker Laboratory 201A,"Austin, Donald",da466@cornell.edu,24,1138,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,2,Arts and Sci-AS,212,No,,,,
BKL201B**,Baker Laboratory 201B,"Austin, Donald",da466@cornell.edu,24,1125,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,2,Arts and Sci-AS,212,No,,,,
BKL219,Baker Laboratory 219,"Austin, Donald",da466@cornell.edu,104,1088,Instruction,104,Yes,No,,Baker Laboratory,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKL301A**,Baker Laboratory 301A,"Austin, Donald",da466@cornell.edu,20,1130,As Is,20,No,No,,,42.450151,-76.481771,Baker Laboratory,3,Arts and Sci-AS,212,No,,,,
BKL301C**,Baker Laboratory 301C,"Austin, Donald",da466@cornell.edu,20,1069,As Is,20,No,No,,,42.450151,-76.481771,Baker Laboratory,3,Arts and Sci-AS,212,No,,,,
BKL301E**,Baker Laboratory 301E,"Austin, Donald",da466@cornell.edu,20,1127,As Is,20,No,No,,,42.450151,-76.481771,Baker Laboratory,3,Arts and Sci-AS,212,No,,,,
BKL335,Baker Laboratory 335,"Austin, Donald",da466@cornell.edu,104,1087,Instruction,104,Yes,No,,Baker Laboratory,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKLB38,Baker Laboratory B38,"Austin, Donald",da466@cornell.edu,20,689,Instruction,20,No,No,,,42.450151,-76.481771,Baker Laboratory,B,Arts and Sci-AS,115,No,,,,
BKLG01A**,Baker Laboratory G01A,"Austin, Donald",da466@cornell.edu,24,1140,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKLG01B**,Baker Laboratory G01B,"Austin, Donald",da466@cornell.edu,24,1127,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKLG01C**,Baker Laboratory G01C,"Austin, Donald",da466@cornell.edu,24,1092,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKLG01D**,Baker Laboratory G01D,"Austin, Donald",da466@cornell.edu,24,1117,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKLG01E**,Baker Laboratory G01E,"Austin, Donald",da466@cornell.edu,24,1128,As Is,24,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKLG02,Baker Laboratory G02,"Austin, Donald",da466@cornell.edu,28,578,Instruction,28,Yes,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKLG08,Baker Laboratory G08,"Austin, Donald",da466@cornell.edu,21,569,Instruction,21,Yes,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKLG10,Baker Laboratory G10,"Austin, Donald",da466@cornell.edu,26,754,Instruction,26,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,110,No,,,,
BKLG16**,Baker Laboratory G16,"Austin, Donald",da466@cornell.edu,14,703,As Is,14,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKLG19**,Baker Laboratory G19,"Austin, Donald",da466@cornell.edu,20,787,As Is,20,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,210,No,,,,
BKLG20,Baker Laboratory G20,"Austin, Donald",da466@cornell.edu,20,331,Instruction,20,Yes,No,,,42.450151,-76.481771,Baker Laboratory,G,,110,No,,,,
BKLG24**,Baker Laboratory G24,"Austin, Donald",da466@cornell.edu,15,836,As Is,15,No,No,,,42.450151,-76.481771,Baker Laboratory,,Arts and Sci-AS,212,No,,,,
BKR108,Carl Becker House 108,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,2,0,,0,No,No,,,42.448208,-76.489555,Carl Becker House,,,,No,,,,
BKR120,Carl Becker House 120: Conference Room,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,12,295,As Is,12,Yes,No,,,42.448208,-76.489555,Carl Becker House,,,680,No,,,,
BKR236,Carl Becker House 236,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,20,0,,0,No,No,,,42.448208,-76.489555,Carl Becker House,,,,No,,,,
BKRG32,Carl Becker House G32: Seminar Room,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,20,513,As Is,20,Yes,No,,,42.448208,-76.489555,Carl Becker House,,,110,No,,,,
BKRG33,Carl Becker House G33,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,30,0,,0,No,No,,,42.448208,-76.489555,Carl Becker House,,,,No,,,,
BKRG34,Carl Becker House G34,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,120,0,,0,No,No,,,42.448208,-76.489555,Carl Becker House,,,,No,,,,
BLM131,Bloomberg Center 131,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,200,2637,As Is,200,No,No,,,0,0,Bloomberg Center,1,Cornell Tech-TECH,110,No,,,,
BLM161,Bloomberg Center 161,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,63,1127,As Is,63,No,No,,,0,0,Bloomberg Center,1,Cornell Tech-TECH,110,No,,,,
BLM161X,Bloomberg Center 161X,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,126,2272,Instruction,126,No,No,,,0,0,Bloomberg Center,1,Cornell Tech-TECH,110,No,,,,
BLM165,Bloomberg Center 165,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,63,1145,As Is,63,No,No,,,0,0,Bloomberg Center,1,Cornell Tech-TECH,110,No,,,,
BLM61,Bloomberg Center 61,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,62,1131,Instruction,62,No,No,,,0,0,Bloomberg Center,,Cornell Tech-TECH,110,No,,,,
BLM61X,Bloomberg Center 61X,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,126,2293,As Is,126,No,No,,,0,0,Bloomberg Center,,Cornell Tech-TECH,110,No,,,,
BLM71,Bloomberg Center 71,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,63,0,As Is,63,No,No,,,0,0,Bloomberg Center,,,,No,,,,
BLM81,Bloomberg Center 81,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,64,1154,As Is,64,No,No,,,0,0,Bloomberg Center,,Cornell Tech-TECH,110,No,,,,
BLM91,Bloomberg Center 91,"Cornell Tech Scheduling Admin, Events",events@tech.cornell.edu,64,1147,As Is,64,No,No,,,0,0,Bloomberg Center,,Cornell Tech-TECH,110,No,,,,
BLY101,Bailey Hall 101: Auditorium,"Esty, William",wpe2@cornell.edu,1306,6836,Instruction,1306,No,No,,,42.449223,-76.480123,Bailey Hall,,,610,No,,,,Bailey should be reserved as a single unit.
BLY101A,Bailey Hall 101A: Stage,"Esty, William",wpe2@cornell.edu,140,2138,,0,No,No,,,42.449223,-76.480123,Bailey Hall,,,610,No,,,,"Bailey should be reserved as a single unit. To ensure that this will happen, Also Assign relationships have been set up on all five Bailey locations so that no matter which singular Bailey location you might try to reserve, you will always get the additional four locations that comprise the single unit."
BLY201,Bailey Hall 201: Balcony,"Esty, William",wpe2@cornell.edu,316,3120,,0,No,No,,,42.449223,-76.480123,Bailey Hall,,,610,No,,,,"Bailey should be reserved as a single unit. To ensure that this will happen, Also Assign relationships have been set up on all five Bailey locations so that no matter which singular Bailey location you might try to reserve, you will always get the additional four locations that comprise the single unit."
BLYXPLZ,Bailey Hall XPLZ: Plaza,"Esty, William",wpe2@cornell.edu,99,0,As Is,99,No,No,,,0,0,,,,,No,,,,
BRB101,Big Red Barn 101: Main space,"Lamey, Janna",janna.lamey@cornell.edu,56,1663,As Is,56,Yes,No,,,42.448499,-76.480959,Big Red Barn,,,670,No,,,,
BRB101X,Big Red Barn,"Lamey, Janna",janna.lamey@cornell.edu,156,0,,0,No,No,,,42.448499,-76.480959,Big Red Barn,,,,No,,,,
BRB103,Big Red Barn 103: Greenhouse,"Lamey, Janna",janna.lamey@cornell.edu,48,544,As Is,48,Yes,No,,,42.448499,-76.480959,Big Red Barn,1,Grad School-GR,630,No,,,,
BRB201,Big Red Barn 201: Upstairs,"Lamey, Janna",janna.lamey@cornell.edu,50,996,As Is,50,Yes,No,,,42.448499,-76.480959,Big Red Barn,2,Grad School-GR,670,No,,,,
BRBXPAT,Big Red Barn XPAT: Patio,"Lamey, Janna",janna.lamey@cornell.edu,85,0,As Is,85,No,No,,,42.448499,-76.480959,,,,,No,,,,
BRD140,Bard Hall 140,"Scheduling Admin, Engineering",eng_roomsch@cornell.edu,68,849,Instruction,68,Yes,No,,Bard Hall,42.443878,-76.484026,Bard Hall,,Engineering-EN,110,No,,,,
BRD258**,Bard Hall 258,"Conrad, Michele",mmc2@cornell.edu,26,673,As Is,26,No,No,,,42.443878,-76.484026,Bard Hall,2,Engineering-EN,212,No,,,,
BRN301,Barnes Hall 301,"Gilmer, Laurel",lag277@cornell.edu,278,3880,Instruction,278,No,No,,,42.446429,-76.484324,Barnes Hall,,,610,No,,,,
BRZ10040,Breazzano Family Ctr 10040,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,27,1665,As Is,27,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,20,No,,,,
BRZ103,Breazzano Family Ctr 103,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,48,1055,Instruction,48,No,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,610,No,,,,
BRZ123,Breazzano Family Ctr 123,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,90,2433,Instruction,90,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,110,No,,,,
BRZ221,Breazzano Family Ctr 221,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,75,2127,Instruction,75,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,110,No,,,,
BRZ223,Breazzano Family Ctr 223,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,75,2133,Instruction,75,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,110,No,,,,
BRZ321,Breazzano Family Ctr 321,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,45,1558,Instruction,45,No,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,110,No,,,,
BRZ321X,Breazzano Family Ctr 321X,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,90,0,Instruction,90,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,,No,,,,
BRZ323,Breazzano Family Ctr 323,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,45,1568,Instruction,45,No,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,110,No,,,,
BRZLL0040,Breazzano Family Ctr LL0040,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,56,1919,As Is,56,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,20,No,,,,
BRZLL23,Breazzano Family Ctr LL23,"Scheduling Admin, BU-Johnson",gm-roomrequests@cornell.edu,90,2405,Instruction,90,Yes,No,,,42.441483,-76.484536,Breazzano Family Ctr,,,110,No,,,,
BTA119**,Baker Inst Thaw Auditorium 119,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,99,1512,Instruction,99,No,No,,,42.427642,-76.453988,Baker Inst Thaw Aud,1,Veterinary Medicine-VM,610,No,,,,
BTBG0040,Biotechnology G0040: Atrium,"Gillow, Pamela",pg41@cornell.edu,299,2605,,0,No,No,,,42.446394,-76.478361,Biotechnology,,,24,No,,,,
BTBG01,Biotechnology G01,"Gillow, Pamela",pg41@cornell.edu,49,784,Instruction,48,Yes,No,,,42.446394,-76.478361,Biotechnology,,,680,No,,,,
BTBG10,Biotechnology G10,"Gillow, Pamela",pg41@cornell.edu,240,3023,Instruction,240,Yes,No,,,42.446394,-76.478361,Biotechnology,,,680,No,,,,
BTL101A**,Bartels Hall 101A,"Coats, Matthew",mc328@cornell.edu,25,493,,0,No,No,,,42.445755,-76.476204,Bartels Hall,1,Student and Campus Life-SCL,610,No,,,,
BTL101B**,Bartels Hall 101B,"Coats, Matthew",mc328@cornell.edu,25,491,,0,No,No,,,42.445755,-76.476204,Bartels Hall,1,Student and Campus Life-SCL,610,No,,,,
BTL108**,Bartels Hall 108,"Coats, Matthew",mc328@cornell.edu,26,661,Instruction,26,No,No,,,42.445755,-76.476204,Bartels Hall,1,Student and Campus Life-SCL,680,No,,,,
BTLB46B,Bartels Hall B46B: Cornell Outdoor Education Classroom,"Coats, Matthew",mc328@cornell.edu,15,340,As Is,15,Yes,No,,,42.445755,-76.476204,Bartels Hall,,,110,No,,,,
BTN100MAIN,Barton Hall 100: Main Floor,"Bilyk, Matthew",mjb92@cornell.edu,900,44850,As Is,900,No,No,,,42.445954,-76.480718,Barton Hall,1,Student and Campus Life-SCL,520,No,,,,
BTN102,Barton Hall 102,"Bilyk, Matthew",mjb92@cornell.edu,20,779,Instruction,20,No,No,,,42.445954,-76.480718,Barton Hall,1,Reserve Officers Training Corps-PROV,220,No,,,,Removed ** 5/24/2020 as BTN102 is a GA PS FACILITY_ID ..t
BTN203,Barton Hall 203,"Bilyk, Matthew",mjb92@cornell.edu,45,1680,Instruction,45,Yes,No,,,42.445954,-76.480718,Barton Hall,,,110,No,,,,
BTN243,Barton Hall 243,"Bilyk, Matthew",mjb92@cornell.edu,24,670,Instruction,24,No,No,,,42.445954,-76.480718,Barton Hall,,,110,No,,,,
BTN246,Barton Hall 246,"Bilyk, Matthew",mjb92@cornell.edu,35,804,Instruction,35,No,No,,,42.445954,-76.480718,Barton Hall,,,110,No,,,,
BTN301,Barton Hall 301,"Bilyk, Matthew",mjb92@cornell.edu,16,805,Instruction,16,No,No,,,42.445954,-76.480718,Barton Hall,,,110,No,,,,
BTNG01,Barton Hall G01,"Bilyk, Matthew",mjb92@cornell.edu,30,1030,Instruction,30,Yes,No,,,42.445954,-76.480718,Barton Hall,,,110,No,,,,
BTNXPAT,Barton Hall XPAT: Patio Entrance,"Bilyk, Matthew",mjb92@cornell.edu,99,0,,0,No,No,,,42.445954,-76.480718,,,,,No,,,,
